dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,5,STX_DOC_000026;STX_DOC_000044;STX_DOC_000052;STX_DOC_000186,2011.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,pyrodinium,DINO_TAXON,2,STX_DOC_000026;STX_DOC_000044,2022.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,pyrodinium_bahamense,DINO_TAXON,2,STX_DOC_000026;STX_DOC_000044,2022.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,3,STX_DOC_000026;STX_DOC_000044;STX_DOC_000052,2013.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,expression,BIOLOGICAL_PROCESS,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,horizontal_gene_transfer,BIOLOGICAL_PROCESS,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,phylogenetic,BIOLOGICAL_PROCESS,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,3,STX_DOC_000026;STX_DOC_000044;STX_DOC_000052,2013.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,taxon_associated_with_process,transcriptome,BIOLOGICAL_PROCESS,1,STX_DOC_000186,2011.0,2011.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,alexandrium_tamarense,DINO_TAXON,2,STX_DOC_000192;STX_DOC_000385,2003.0,2010.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,1,STX_DOC_000082,2003.0,2003.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,2,STX_DOC_000019;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,13,STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000052;STX_DOC_000077;STX_DOC_000082;STX_DOC_000192;STX_DOC_000364;STX_DOC_000385;STX_DOC_000435,2003.0,2022.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,2,STX_DOC_000052;STX_DOC_000082,2003.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,2,STX_DOC_000052;STX_DOC_000082,2003.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,hplc,DETECTION_METHOD,1,STX_DOC_000192,2003.0,2003.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,1,STX_DOC_000435,2009.0,2009.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,nitrate,ENV_FACTOR,2,STX_DOC_000012;STX_DOC_000019,2016.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,nitrogen,ENV_FACTOR,2,STX_DOC_000012;STX_DOC_000019,2016.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,nutrient,ENV_FACTOR,2,STX_DOC_000019;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,nutrients,ENV_FACTOR,1,STX_DOC_000019,2017.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,phosphate,ENV_FACTOR,1,STX_DOC_000019,2017.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,semantic_cooccurrence,phosphorus,ENV_FACTOR,2,STX_DOC_000012;STX_DOC_000019,2016.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,4,STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000052,2013.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,expression,BIOLOGICAL_PROCESS,6,STX_DOC_000012;STX_DOC_000019;STX_DOC_000077;STX_DOC_000364;STX_DOC_000385;STX_DOC_000435,2009.0,2022.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,gene_expression,BIOLOGICAL_PROCESS,3,STX_DOC_000364;STX_DOC_000385;STX_DOC_000435,2009.0,2020.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,horizontal_gene_transfer,BIOLOGICAL_PROCESS,2,STX_DOC_000008;STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,phylogenetic,BIOLOGICAL_PROCESS,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,regulation,BIOLOGICAL_PROCESS,3,STX_DOC_000019;STX_DOC_000385;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,1,STX_DOC_000052,2013.0,2013.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,toxicity,BIOLOGICAL_PROCESS,1,STX_DOC_000077,2022.0,2022.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,toxin_production,BIOLOGICAL_PROCESS,5,STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000077;STX_DOC_000385,2010.0,2022.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,transcriptome,BIOLOGICAL_PROCESS,1,STX_DOC_000435,2009.0,2009.0
cyano_all,alexandrium_minutum,DINO_TAXON,taxon_associated_with_process,transcriptomic,BIOLOGICAL_PROCESS,4,STX_DOC_000008;STX_DOC_000012;STX_DOC_000019;STX_DOC_000435,2009.0,2017.0
cyano_all,alexandrium_ostenfeldii,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,1,STX_DOC_000277,2014.0,2014.0
cyano_all,alexandrium_ostenfeldii,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,1,STX_DOC_000277,2014.0,2014.0
cyano_all,alexandrium_ostenfeldii,DINO_TAXON,semantic_cooccurrence,harmful_algal_bloom,ENV_FACTOR,1,STX_DOC_000277,2014.0,2014.0
cyano_all,alexandrium_pacificum,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,2,STX_DOC_000104,2022.0,2022.0
cyano_all,alexandrium_pacificum,DINO_TAXON,semantic_cooccurrence,dolichospermum,CYANO_TAXON,1,STX_DOC_000104,2022.0,2022.0
cyano_all,alexandrium_pacificum,DINO_TAXON,semantic_cooccurrence,lc_ms,DETECTION_METHOD,1,STX_DOC_000104,2022.0,2022.0
cyano_all,alexandrium_pacificum,DINO_TAXON,semantic_cooccurrence,lc_ms_ms,DETECTION_METHOD,1,STX_DOC_000104,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,alexandrium_fundyense,DINO_TAXON,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,5,STX_DOC_000163;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000431,1996.0,2016.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,14,STX_DOC_000026;STX_DOC_000113;STX_DOC_000163;STX_DOC_000192;STX_DOC_000273;STX_DOC_000280;STX_DOC_000325;STX_DOC_000348;STX_DOC_000385;STX_DOC_000431,1996.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,hplc,DETECTION_METHOD,4,STX_DOC_000192;STX_DOC_000273;STX_DOC_000280;STX_DOC_000348,1996.0,2016.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,lc_ms,DETECTION_METHOD,1,STX_DOC_000280,2013.0,2013.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,lc_ms_ms,DETECTION_METHOD,1,STX_DOC_000280,2013.0,2013.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,mass_spectrometry,DETECTION_METHOD,2,STX_DOC_000273;STX_DOC_000348,1996.0,2016.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,nitrogen,ENV_FACTOR,1,STX_DOC_000113,2015.0,2015.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,nutrient,ENV_FACTOR,1,STX_DOC_000113,2015.0,2015.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,phosphorus,ENV_FACTOR,1,STX_DOC_000113,2015.0,2015.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,pyrodinium,DINO_TAXON,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,semantic_cooccurrence,pyrodinium_bahamense,DINO_TAXON,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,3,STX_DOC_000026;STX_DOC_000113;STX_DOC_000273,2015.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,evolution,BIOLOGICAL_PROCESS,1,STX_DOC_000325,2009.0,2009.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,expression,BIOLOGICAL_PROCESS,4,STX_DOC_000026;STX_DOC_000113;STX_DOC_000325;STX_DOC_000385,2009.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,gene_expression,BIOLOGICAL_PROCESS,2,STX_DOC_000325;STX_DOC_000385,2009.0,2010.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,phylogenetic,BIOLOGICAL_PROCESS,1,STX_DOC_000325,2009.0,2009.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,regulation,BIOLOGICAL_PROCESS,2,STX_DOC_000325;STX_DOC_000385,2009.0,2010.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,1,STX_DOC_000026,2022.0,2022.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,toxin_biosynthesis,BIOLOGICAL_PROCESS,1,STX_DOC_000113,2015.0,2015.0
cyano_all,alexandrium_tamarense,DINO_TAXON,taxon_associated_with_process,toxin_production,BIOLOGICAL_PROCESS,1,STX_DOC_000385,2010.0,2010.0
cyano_all,alexandrium_tamiyavanichii,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,1,STX_DOC_000374,2016.0,2016.0
cyano_all,alexandrium_tamiyavanichii,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,2,STX_DOC_000070;STX_DOC_000374,2012.0,2016.0
cyano_all,alexandrium_tamiyavanichii,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,1,STX_DOC_000374,2016.0,2016.0
