dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,bloom,ENV_FACTOR,53,STX_DOC_000035;STX_DOC_000036;STX_DOC_000053;STX_DOC_000078;STX_DOC_000129;STX_DOC_000169;STX_DOC_000196;STX_DOC_000212;STX_DOC_000215;STX_DOC_000246;STX_DOC_000250;STX_DOC_000277;STX_DOC_000279;STX_DOC_000282;STX_DOC_000285;STX_DOC_000287;STX_DOC_000288;STX_DOC_000289;STX_DOC_000321;STX_DOC_000435;STX_DOC_000487;STX_DOC_000505;STX_DOC_000508;STX_DOC_000511;STX_DOC_000561;STX_DOC_000565;STX_DOC_000590;STX_DOC_000642;STX_DOC_000658;STX_DOC_000668;STX_DOC_000677;STX_DOC_000738;STX_DOC_000758;STX_DOC_000761;STX_DOC_000765;STX_DOC_000835;STX_DOC_000933;STX_DOC_000940;STX_DOC_000942;STX_DOC_000949;STX_DOC_000965;STX_DOC_000967;STX_DOC_000983;STX_DOC_001052;STX_DOC_001094;STX_DOC_001162;STX_DOC_001173;STX_DOC_001175;STX_DOC_001202;STX_DOC_001203;STX_DOC_001401;STX_DOC_001733;STX_DOC_001736,1990.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,climate,ENV_FACTOR,6,STX_DOC_000282;STX_DOC_000487;STX_DOC_000511;STX_DOC_000561;STX_DOC_000765;STX_DOC_000937,1998.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,29,STX_DOC_000009;STX_DOC_000022;STX_DOC_000040;STX_DOC_000052;STX_DOC_000070;STX_DOC_000082;STX_DOC_000113;STX_DOC_000186;STX_DOC_000192;STX_DOC_000275;STX_DOC_000277;STX_DOC_000280;STX_DOC_000322;STX_DOC_000325;STX_DOC_000348;STX_DOC_000385;STX_DOC_000431;STX_DOC_000435;STX_DOC_000599;STX_DOC_000600;STX_DOC_000830,1994.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,cylindrospermopsis,CYANO_TAXON,1,STX_DOC_000009,2010.0,2010.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,elisa,DETECTION_METHOD,3,STX_DOC_000195;STX_DOC_000287;STX_DOC_000288,1991.0,2008.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,environmental_stress,ENV_FACTOR,1,STX_DOC_000062,1999.0,1999.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,23,STX_DOC_000009;STX_DOC_000028;STX_DOC_000035;STX_DOC_000036;STX_DOC_000052;STX_DOC_000053;STX_DOC_000082;STX_DOC_000127;STX_DOC_000148;STX_DOC_000151;STX_DOC_000188;STX_DOC_000195;STX_DOC_000250;STX_DOC_000351;STX_DOC_000375;STX_DOC_000380;STX_DOC_000381;STX_DOC_000517;STX_DOC_000573;STX_DOC_000663;STX_DOC_000664;STX_DOC_000672;STX_DOC_001283,1988.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,17,STX_DOC_000028;STX_DOC_000035;STX_DOC_000036;STX_DOC_000052;STX_DOC_000053;STX_DOC_000082;STX_DOC_000127;STX_DOC_000148;STX_DOC_000195;STX_DOC_000250;STX_DOC_000351;STX_DOC_000380;STX_DOC_000517;STX_DOC_000573;STX_DOC_000663;STX_DOC_000664;STX_DOC_000672,1988.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,harmful_algal_bloom,ENV_FACTOR,11,STX_DOC_000053;STX_DOC_000277;STX_DOC_000287;STX_DOC_000288;STX_DOC_000289;STX_DOC_000321;STX_DOC_000508;STX_DOC_000642;STX_DOC_000738;STX_DOC_000942;STX_DOC_001052,2003.0,2015.0
dino_pre2016,alexandrium,DINO_TAXON,semantic_cooccurrence,hplc,DETECTION_METHOD,56,STX_DOC_000035;STX_DOC_000036;STX_DOC_000062;STX_DOC_000081;STX_DOC_000083;STX_DOC_000095;STX_DOC_000151;STX_DOC_000169;STX_DOC_000192;STX_DOC_000193;STX_DOC_000194;STX_DOC_000195;STX_DOC_000196;STX_DOC_000211;STX_DOC_000250;STX_DOC_000251;STX_DOC_000280;STX_DOC_000287;STX_DOC_000288;STX_DOC_000293;STX_DOC_000327;STX_DOC_000332;STX_DOC_000334;STX_DOC_000347;STX_DOC_000348;STX_DOC_000351;STX_DOC_000375;STX_DOC_000390;STX_DOC_000429;STX_DOC_000501;STX_DOC_000502;STX_DOC_000514;STX_DOC_000517;STX_DOC_000569;STX_DOC_000576;STX_DOC_000588;STX_DOC_000589;STX_DOC_000591;STX_DOC_000599;STX_DOC_000600;STX_DOC_000668;STX_DOC_000671;STX_DOC_000676;STX_DOC_000677;STX_DOC_000730;STX_DOC_000741;STX_DOC_000857;STX_DOC_000864;STX_DOC_000871;STX_DOC_000964;STX_DOC_000973;STX_DOC_000975;STX_DOC_001088;STX_DOC_001198;STX_DOC_001283;STX_DOC_001733,1988.0,2015.0
