collection,title,abstract,journal,year,paper_id,domain,group
hab,"The role of a PSP-producing Alexandrium bloom in an unprecedented diamondback terrapin (Malaclemys terrapin) mortality event in Flanders Bay, New York, USA","Diamondback terrapins (Malaclemys terrapin) are a threatened or endangered species in much of their range along the U.S. Atlantic and Gulf coasts. Over an approximately three-week period from late April to mid-May 2015, hundreds of adult diamondback terrapins were found dead on the shores of Flanders Bay, Long Island, New York, USA. Concurrent with the mortality event, elevated densities of the paralytic shellfish toxin (PST)-producing dinoflagellate, Alexandrium fundyense (>104 cells L-1) and high levels of PST in bivalves (maximal levels = 540 ?g STX eq. 100 g-1 shellfish tissue) were observed in the Flanders Bay region, resulting in shellfish bed closures in regional tributaries. Gross and histologic postmortem examinations of terrapins revealed no physical trauma to individuals or a common, underlying disease process to explain the deaths. PST compounds (0.2-12.5 ?g STX eq. 100 g-1) were present in various M. terrapin tissues collected over the duration of the mortality event. High-throughput sequencing revealed that the ribbed mussel (Geukensia demissa, a PST vector) was present in the gastrointestinal tracks of all terrapin samples tested. While the potential of PST to cause mortality in chelonians has not been well-characterized, in the absence of other significant findings from necropsies and pathological analyses, we provide evidence that PST in shellfish was likely high enough to cause or contribute to the mortality in these small (<2.0 kg) animals.",Toxicon: Official Journal of the International Society on Toxinology,2017,P226,dinoflagellate,test
hab,"Which species, Alexandrium catenella (Group I) or A. pacificum (Group IV), is really responsible for past paralytic shellfish poisoning outbreaks in Jinhae-Masan Bay, Korea?","Paralytic shellfish poisoning (PSP) caused the deaths of four people in coastal area of Korea, mainly Jinhae-Masan Bay and adjacent areas, in April 1986 and in 1996. The PSP outbreaks were caused by the consumption of mussels, Mytilus edulis. The organism that caused PSP was identified, from morphological data only, as Alexandrium tamarense which is recently renamed as A. catenella, however recent studies have shown that the morphological diagnostic characteristics used to identify Alexandrium species have uncertainties and molecular tools and other criteria should be considered as well. The organism that caused past PSP outbreaks and incidents in Korea therefore need to be carefully reconsidered. The aim of this study was to re-evaluate the species really responsible for past outbreaks of PSP in Jinhae-Masan Bay, Korea. The temporal production and fluxes of the resting cysts of Alexandrium species were investigated for one year (from March 2011 to February 2012) using a sediment trap, and the morphology and phylogeny of vegetative cells germinated from the resting cysts were analysed. The production of Alexandrium species peaked in August and November, when temporal discrepancies were found in the water temperature (22.4 and 22.7°C in August, 19.1 and 19.6°C in November) and salinity (29.5 and 26.1 psu in August, 30.5 and 31.8 psu in November). The morphological data revealed that Alexandrium species germinated from resting cysts collected in August have a ventral pore on the 1' plate, whereas the 1' plate in Alexandrium species germinated from resting cysts collected in November lacks a ventral pore. Molecular phylogenetic data for the vegetative cells from the germination experiments allowed the August and November peaks to be assigned to Alexandrium catenella (Group I) and A. pacificum (Group IV), respectively. This indicates that the production of resting cysts of A. catenella can be enhanced by relatively high water temperature. This result is not consistent with those of previous studies that A. catenella responsible for PSP outbreaks was found at relatively low water temperature. In addition, large subunit ribosomal sequences data revealed that A. pacificum isolates from Korea were closely related to those from Australia, Japan and New Zealand where the PSP toxicity of shellfish and blooms occurred in the 1990s, indicating that the introduction of toxic dinoflagellates were related to ballast water from bulk-cargo shipping. Based on these results, we concluded that past PSP outbreaks in Jinhae-Masan Bay of Korea could have been caused by A. pacificum rather than by A. catenella.",Harmful Algae,2017,P236,dinoflagellate,test
gene_cluster,Quantity of the dinoflagellate sxtA4 gene and cell density correlates with paralytic shellfish toxin production in Alexandrium ostenfeldii blooms,"Many marine dinoflagellates, including several species of the genus Alexandrium, Gymnodinium catenatum, and Pyrodinium bahamense are known for their capability to produce paralytic shellfish toxins (PST), which can cause severe, most often food-related poisoning. The recent discovery of the first PST biosynthesis genes has laid the foundation for the development of molecular detection methods for monitoring and study of PST-producing dinoflagellates. In this study, a probe-based qPCR method for the detection and quantification of the sxtA4 gene present in Alexandrium spp. and Gymnodinium catenatum was designed. The focus was on Alexandrium ostenfeldii, a species which recurrently forms dense toxic blooms in areas within the Baltic Sea. A consistent, positive correlation between the presence of sxtA4 and PST biosynthesis was observed, and the species was found to maintain PST production with an average of 6 genomic copies of sxtA4. In August 2014, A. ostenfeldii populations were studied for cell densities, PST production, as well as sxtA4 and species-specific LSU copy numbers in Föglö, Åland, Finland, where an exceptionally dense bloom, consisting of 6.3×106cellsL-1, was observed. Cell concentrations, and copy numbers of both of the target genes were positively correlated with total STX, GTX2, and GTX3 concentrations in the environment, the cell density predicting toxin concentrations with the best accuracy (Spearman's ?=0.93, p<0.01). The results indicated that all A. ostenfeldii cells in the blooms harbored the genetic capability of PST production, making the detection of sxtA4 a good indicator of toxicity.",Harmful Algae,2016,P007,dinoflagellate,test
transcriptome,Transcriptome Analysis of Scrippsiella trochoidea CCMP 3099 Reveals Physiological Changes Related to Nitrate Depletion,"Dinoflagellates are a major component of marine phytoplankton and many species are recognized for their ability to produce harmful algal blooms (HABs). Scrippsiella trochoidea is a non-toxic, marine dinoflagellate that can be found in both cold and tropic waters where it is known to produce ""red tide"" events. Little is known about the genomic makeup of S. trochoidea and a transcriptome study was conducted to shed light on the biochemical and physiological adaptations related to nutrient depletion. Cultures were grown under N and P limiting conditions and transcriptomes were generated via RNAseq technology. De novo assembly reconstructed 107,415 putative transcripts of which only 41% could be annotated. No significant transcriptomic response was observed in response to initial P depletion, however, a strong transcriptional response to N depletion was detected. Among the down-regulated pathways were those for glutamine/glutamate metabolism as well as urea and nitrate/nitrite transporters. Transcripts for ammonia transporters displayed both up- and down-regulation, perhaps related to a shift to higher affinity transporters. Genes for the utilization of DON compounds were up-regulated. These included transcripts for amino acids transporters, polyamine oxidase, and extracellular proteinase and peptidases. N depletion also triggered down regulation of transcripts related to the production of Photosystems I & II and related proteins. These data are consistent with a metabolic strategy that conserves N while maximizing sustained metabolism by emphasizing the relative contribution of organic N sources. Surprisingly, the transcriptome also contained transcripts potentially related to secondary metabolite production, including a homolog to the Short Isoform Saxitoxin gene (sxtA) from Alexandrium fundyense, which was significantly up-regulated under N-depletion. A total of 113 unique hits to Sxt genes, covering 17 of the 34 genes found in C. raciborskii were detected, indicating that S. trochoidea has previously unrecognized potential for the production of secondary metabolites with potential toxicity.",Frontiers in Microbiology,2016,P008,dinoflagellate,test
detection,Liquid Chromatography with a Fluorimetric Detection Method for Analysis of Paralytic Shellfish Toxins and Tetrodotoxin Based on a Porous Graphitic Carbon Column,"Paralytic shellfish toxins (PST) traditionally have been analyzed by liquid chromatography with either pre- or post-column derivatization and always with a silica-based stationary phase. This technique resulted in different methods that need more than one run to analyze the toxins. Furthermore, tetrodotoxin (TTX) was recently found in bivalves of northward locations in Europe due to climate change, so it is important to analyze it along with PST because their signs of toxicity are similar in the bioassay. The methods described here detail a new approach to eliminate different runs, by using a new porous graphitic carbon stationary phase. Firstly we describe the separation of 13 PST that belong to different groups, taking into account the side-chains of substituents, in one single run of less than 30 min with good reproducibility. The method was assayed in four shellfish matrices: mussel (Mytillus galloprovincialis), clam (Pecten maximus), scallop (Ruditapes decussatus) and oyster (Ostrea edulis). The results for all of the parameters studied are provided, and the detection limits for the majority of toxins were improved with regard to previous liquid chromatography methods: the lowest values were those for decarbamoyl-gonyautoxin 2 (dcGTX2) and gonyautoxin 2 (GTX2) in mussel (0.0001 mg saxitoxin (STX)·diHCl kg(-1) for each toxin), decarbamoyl-saxitoxin (dcSTX) in clam (0.0003 mg STX·diHCl kg(-1)), N-sulfocarbamoyl-gonyautoxins 2 and 3 (C1 and C2) in scallop (0.0001 mg STX·diHCl kg(-1) for each toxin) and dcSTX (0.0003 mg STX·diHCl kg(-1) ) in oyster; gonyautoxin 2 (GTX2) showed the highest limit of detection in oyster (0.0366 mg STX·diHCl kg(-1)). Secondly, we propose a modification of the method for the simultaneous analysis of PST and TTX, with some minor changes in the solvent gradient, although the detection limit for TTX does not allow its use nowadays for regulatory purposes.",Toxins,2016,P029,dinoflagellate,test
environmental,"Paralytic shellfish toxin production by the dinoflagellate Alexandrium pacificum (Chinhae Bay, Korea) in axenic, nutrient-limited chemostat cultures and nutrient-enriched batch cultures","Blooms of Alexandrium pacificum (formerly Alexandrium tamarense) are common in Chinhae Bay (Korea), presumably linked to anthropogenic eutrophication. Here we examine PSP toxin content and composition in axenic chemostat and batch cultures of A. pacificum using growth conditions that differed according to dilution rate, nutrient limitations, and enrichments. Phosphate (P)-limited cells in chemostat cultures had higher toxin content and a toxin composition that differed from that of nitrogen (N)-limited cells at the highest growth rates. Therefore, toxin composition changes do occur in axenic cultures of A. pacificum following extended growth under steady state conditions. In nutrient-limited batch cultures that received N and P enrichment, the N-enriched cultures showed a more diverse toxin profile than the P-enriched cells; the toxin content of N-enriched cells was lower than in the P-enriched cultures. We infer the following order for the biosynthesis of individual toxins: C1, C2>GTX3>GTX1>neoSTX.",Marine Pollution Bulletin,2016,P090,dinoflagellate,test
environmental,Physiological and transcriptional responses to inorganic nutrition in a tropical Pacific strain of Alexandrium minutum: Implications for the saxitoxin genes and toxin production,"Saxitoxins (STXs) constitute a family of potent sodium channel blocking toxins, causative agents of paralytic shellfish poisoning (PSP), and are produced by several species of marine dinoflagellates and cyanobacteria. Two STX-core genes, sxtA and sxtG, have been well elucidated in Alexandrium but the expression of these genes under various nutritional modes in tropical species remains unclear. This study investigates the physiological responses of a tropical Pacific strain of Alexandrium minutum growing with nitrate or ammonium, and with various nitrogen to phosphorus (N:P) supply ratios. The transcriptional responses of the sxt genes were observed. Likewise, a putative sxtI encoding O-carbamoyltransferase (herein designated as AmsxtI) was recovered from the transcriptomic data, and its expression was investigated. The results revealed that the cellular toxin quota (Qt) was higher in P-depleted, nitrate-grown cultures. With cultures at similar N:P (<16), cells grown with excess ammonium showed a higher Qt than those grown with nitrate. sxtA1 was not expressed under any culture conditions, suggesting that this gene might not be involved in STX biosynthesis by this strain. Conversely, sxtA4 and sxtG showed positive correlations with Qt, and were up-regulated in P-depleted, nitrate-grown cultures and with excess ambient ammonium. On the other hand, AmsxtI was expressed only when induced by P-depletion, suggesting that this gene may play an important role in P-recycling metabolism, while simultaneously enhancing toxin production.",Harmful Algae,2016,P099,dinoflagellate,test
mechanisms,Docking Simulation of the Binding Interactions of Saxitoxin Analogs Produced by the Marine Dinoflagellate Gymnodinium catenatum to the Voltage-Gated Sodium Channel Nav1.4,"Saxitoxin (STX) and its analogs are paralytic alkaloid neurotoxins that block the voltage-gated sodium channel pore (Nav), impeding passage of Na? ions into the intracellular space, and thereby preventing the action potential in the peripheral nervous system and skeletal muscle. The marine dinoflagellate Gymnodinium catenatum produces an array of such toxins, including the recently discovered benzoyl analogs, for which the mammalian toxicities are essentially unknown. We subjected STX and its analogs to a theoretical docking simulation based upon two alternative tri-dimensional models of the Nav1.4 to find a relationship between the binding properties and the known mammalian toxicity of selected STX analogs. We inferred hypothetical toxicities for the benzoyl analogs from the modeled values. We demonstrate that these toxins exhibit different binding modes with similar free binding energies and that these alternative binding modes are equally probable. We propose that the principal binding that governs ligand recognition is mediated by electrostatic interactions. Our simulation constitutes the first in silico modeling study on benzoyl-type paralytic toxins and provides an approach towards a better understanding of the mode of action of STX and its analogs.",Toxins,2016,P137,dinoflagellate,test
mechanisms,Biosynthetic route towards saxitoxin and shunt pathway,"Saxitoxin, the most potent voltage-gated sodium channel blocker, is one of the paralytic shellfish toxins (PSTs) produced by cyanobacteria and dinoflagellates. Recently, putative biosynthetic genes of PSTs were reported in these microorganisms. We previously synthesized genetically predicted biosynthetic intermediates, Int-A' and Int-C'2, and also Cyclic-C' which was not predicted based on gene, and identified them all in the toxin-producing cyanobacterium Anabaena circinalis (TA04) and the dinoflagellate Alexandrium tamarense (Axat-2). This study examined the incorporation of (15)N-labeled intermediates into PSTs (C1 and C2) in A. circinalis (TA04). Conversions from Int-A' to Int-C'2, from Int-C'2 to Cyclic-C', and from Int-A' and Int-C'2 to C1 and C2 were indicated using high resolution-LC/MS. However, Cyclic-C' was not converted to C1 and C2 and was detected primarily in the extracellular medium. These results suggest that Int-A' and Int-C'2 are genuine precursors of PSTs, but Int-C'2 converts partially to Cyclic-C' which is a shunt product excreted to outside the cells. This paper provides the first direct demonstration of the biosynthetic route towards saxitoxin and a shunt pathway.",Scientific Reports,2016,P138,dinoflagellate,test
review,Paralytic shellfish toxin biosynthesis in cyanobacteria and dinoflagellates: A molecular overview,"Paralytic shellfish toxins (PSTs) are a group of water soluble neurotoxic alkaloids produced by two different kingdoms of life, prokaryotic cyanobacteria and eukaryotic dinoflagellates. Owing to the wide distribution of these organisms, these toxic secondary metabolites account for paralytic shellfish poisonings around the world. On the other hand, their specific binding to voltage-gated sodium channels makes these toxins potentially useful in pharmacological and toxicological applications. Much effort has been devoted to the biosynthetic mechanism of PSTs, and gene clusters encoding 26 proteins involved in PST biosynthesis have been unveiled in several cyanobacterial species. Functional analysis of toxin genes indicates that PST biosynthesis in cyanobacteria is a complex process including biosynthesis, regulation, modification and export. However, less is known about the toxin biosynthesis in dinoflagellates owing to our poor understanding of the massive genome and unique chromosomal characteristics [1]. So far, few genes involved in PST biosynthesis have been identified from dinoflagellates. Moreover, the proteins involved in PST production are far from being totally explored. Thus, the origin and evolution of PST biosynthesis in these two kingdoms are still controversial. In this review, we summarize the recent progress on the characterization of genes and proteins involved in PST biosynthesis in cyanobacteria and dinoflagellates, and discuss the standing evolutionary hypotheses concerning the origin of toxin biosynthesis as well as future perspectives in PST biosynthesis. SCIENTIFIC QUESTION: Paralytic shellfish toxins (PSTs) are a group of potent neurotoxins which specifically block voltage-gated sodium channels in excitable cells and result in paralytic shellfish poisonings (PSPs) around the world. Two different kingdoms of life, cyanobacteria and dinoflagellates are able to produce PSTs. However, in contrast with cyanobacteria, our understanding of PST biosynthesis in dinoflagellates is extremely limited owing to their unique features. The origin and evolution of PST biosynthesis in these two kingdoms are still controversial. TECHNICAL SIGNIFICANCE: High-throughput omics technologies, such as genomics, transcriptomics and proteomics provide powerful tools for the study of PST biosynthesis in cyanobacteria and dinoflagellates, and have shown their powerful potential with regard to revealing genes and proteins involved in PST biosynthesis in two kingdoms. SCIENTIFIC SIGNIFICANCE: This review summarizes the recent progress in PST biosynthesis in cyanobacteria and dinoflagellates with focusing on the novel insights from omics technologies, and discusses the evolutionary relationship of toxin biosynthesis genes between these two kingdoms.",Journal of Proteomics,2016,P175,dinoflagellate,test
gene_expression,Gene Expression in the Biosynthesis of Paralytic Shellfish Poisoning (PSP) Toxins in Dinoflagellates: A Mini Review,nan nan,Transactions on Science and Technology,2016,P218,dinoflagellate,test
hab,Seasonality and toxin production of Pyrodinium bahamense in a Red Sea lagoon,"Harmful algal blooms of the dinoflagellate Pyrodinium bahamense have caused human and economic losses in the last decades. This study, for the first time, documents a bloom of P. bahamense in the Red Sea. The alga was recurrently present in a semi-enclosed lagoon throughout nearly 2 years of observations. The highest cell densities (104-105cellsL-1) were recorded from September to beginning of December at temperatures and salinities of ?26-32°C and ?41, respectively. The peak of the bloom was recorded mid-November, before a sharp decrease in cell numbers at the end of December. Minimum concentrations in summer were at ?103cellsL-1. A saxitoxin ELISA immunoassay of cultures and water samples confirmed the toxicity of the strain found in the Red Sea. Moreover, a gene expression analysis of the saxitoxin gene domain SxtA4 showed that transcript production peaked at the culmination of the bloom, suggesting a relation between transcript production, sudden cells increment-decline, and environmental factors.",Harmful Algae,2016,P220,dinoflagellate,test
effect,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,"The paralytic shellfish toxin (PST) profiles of Gymnodinium catenatum Graham have been reported for several strains from the Pacific coast of Mexico cultured under different laboratory conditions, as well as from natural populations. Up to 15 saxitoxin analogues occurred and the quantity of each toxin depended on the growth phase and culture conditions. Previous analysis of toxin profiles of G. catenatum isolated from Mexico have been based on post-column oxidation liquid chromatography with fluorescence detection (LC-FLD), a method prone to artefacts and non-specificity, leading to misinterpretation of toxin composition. We describe, for the first time, the complete toxin profile for several G. catenatum strains from diverse locations of the Pacific coast of Mexico. The new results confirmed previous reports on the dominance of the less potent sulfocarbamoyl toxins (C1/2); significant differences, however, in the composition (e.g., absence of saxitoxin, gonyautoxin 2/3 and neosaxitoxin) were revealed in our confirmatory analysis. The LC-MS/MS analyses also indicated at least seven putative benzoyl toxin analogues and provided support for their existence. This new toxin profile shows a high similarity (> 80%) to the profiles reported from several regions around the world, suggesting low genetic variability among global populations.","Food Additives & Contaminants. Part A, Chemistry, Analysis, Control, Exposure & Risk Assessment",2015,P055,dinoflagellate,train
effect,"Toxin profile of Gymnodinium catenatum (Dinophyceae) from the Portuguese coast, as determined by liquid chromatography tandem mass spectrometry","The marine dinoflagellate Gymnodinium catenatum has been associated with paralytic shellfish poisoning (PSP) outbreaks in Portuguese waters for many years. PSP syndrome is caused by consumption of seafood contaminated with paralytic shellfish toxins (PSTs), a suite of potent neurotoxins. Gymnodinium catenatum was frequently reported along the Portuguese coast throughout the late 1980s and early 1990s, but was absent between 1995 and 2005. Since this time, G. catenatum blooms have been recurrent, causing contamination of fishery resources along the Atlantic coast of Portugal. The aim of this study was to evaluate the toxin profile of G. catenatum isolated from the Portuguese coast before and after the 10-year hiatus to determine changes and potential impacts for the region. Hydrophilic interaction liquid chromatography tandem mass spectrometry (HILIC-MS/MS) was utilized to determine the presence of any known and emerging PSTs in sample extracts. Several PST derivatives were identified, including the N-sulfocarbamoyl analogues (C1-4), gonyautoxin 5 (GTX5), gonyautoxin 6 (GTX6), and decarbamoyl derivatives, decarbamoyl saxitoxin (dcSTX), decarbamoyl neosaxitoxin (dcNeo) and decarbamoyl gonyautoxin 3 (dcGTX3). In addition, three known hydroxy benzoate derivatives, G. catenatum toxin 1 (GC1), GC2 and GC3, were confirmed in cultured and wild strains of G. catenatum. Moreover, two presumed N-hydroxylated analogues of GC2 and GC3, designated GC5 and GC6, are reported. This work contributes to our understanding of the toxigenicity of G. catenatum in the coastal waters of Portugal and provides valuable information on emerging PST classes that may be relevant for routine monitoring programs tasked with the prevention and control of marine toxins in fish and shellfish.",Marine Drugs,2015,P057,dinoflagellate,train
effect,"Differences in the toxin profiles of Alexandrium ostenfeldii (Dinophyceae) strains isolated from different geographic origins: Evidence of paralytic toxin, spirolide, and gymnodimine","Among toxin-producing dinoflagellates of the genus Alexandrium, Alexandrium ostenfeldii is the only species able to produce paralytic shellfish poisoning (PSP) toxins, spirolides (SPXs) and gymnodimines (GYMs). In this study we characterized and compared three A. ostenfeldii strains isolated from the Baltic, Mediterranean, and southern Chile Seas with respect to their toxin profiles, morphology, and phylogeny. Toxin analyses by HPLC-FD and LC-HRMS revealed differences in the toxin profiles of the three strains. The PSP toxin profiles of the southern Chile and Baltic strains were largely the same and included gonyautoxin (GTX)-3, GTX-2, and saxitoxin (STX), although the total PSP toxin content of the Chilean strain (105.83 ± 72.15 pg cell(-1)) was much higher than that of the Baltic strain (4.04 ± 1.93 pg cell(-1)). However, the Baltic strain was the only strain that expressed detectable amounts of analogues of GYM-A and GYM-B/-C (48.27 ± 26.12 pg GYM-A equivalents cell(-1)). The only toxin expressed by the Mediterranean strain was 13-desmethyl SPX-C (13dMeC; 2.85 ± 4.76 pg cell(-1)). Phylogenetic analysis based on the LSU rRNA showed that the studied strains belonged to distinct molecular clades. The toxin profiles determined in this study provide further evidence of the taxonomic complexity of this species.",Toxicon: Official Journal of the International Society on Toxinology,2015,P058,dinoflagellate,train
environmental,A Kinetic and Factorial Approach to Study the Effects of Temperature and Salinity on Growth and Toxin Production by the Dinoflagellate Alexandrium ostenfeldii from the Baltic Sea,"Alexandrium ostenfeldii is present in a wide variety of environments in coastal areas worldwide and is the only dinoflagellate known species that produces paralytic shellfish poisoning (PSP) toxins and two types of cyclic imines, spirolides (SPXs) and gymnodimines (GYMs). The increasing frequency of A. ostenfeldii blooms in the Baltic Sea has been attributed to the warming water in this region. To learn more about the optimal environmental conditions favoring the proliferation of A. ostenfeldii and its complex toxicity, the effects of temperature and salinity on the kinetics of both the growth and the net toxin production of this species were examined using a factorial design and a response-surface analysis (RSA). The results showed that the growth of Baltic A. ostenfeldii occurs over a wide range of temperatures and salinities (12.5-25.5°C and 5-21, respectively), with optimal growth conditions achieved at a temperature of 25.5°C and a salinity of 11.2. Together with the finding that a salinity > 21 was the only growth-limiting factor detected for this strain, this study provides important insights into the autecology and population distribution of this species in the Baltic Sea. The presence of PSP toxins, including gonyautoxin (GTX)-3, GTX-2, and saxitoxin (STX), and GYMs (GYM-A and GYM-B/-C analogues) was detected under all temperature and salinity conditions tested and in the majority of the cases was concomitant with both the exponential growth and stationary phases of the dinoflagellate's growth cycle. Toxin concentrations were maximal at temperatures and salinities of 20.9°C and 17 for the GYM-A analogue and > 19°C and 15 for PSP toxins, respectively. The ecological implications of the optimal conditions for growth and toxin production of A. ostenfeldii in the Baltic Sea are discussed.",PloS One,2015,P080,dinoflagellate,train
environmental,Environmental effects of modified clay flocculation on Alexandrium tamarense and paralytic shellfish poisoning toxins (PSTs),"Among various mitigation strategies for harmful algal blooms (HABs), the flocculation of algal cells by using modified clay (MC) has been widely applied in the field, particularly in Japan, Korea and China. However, to examine the long-term effects and the environmental safety of this method, we investigated alterations in macronutrients and paralytic shellfish poisoning toxins (PSTs) induced by the application of MC treatment to a toxic bloom, Alexandrium tamarense. The control, algal cells grew in nature condition (A1), was compared to the only MC flocculation (A2) and the MC-sediment co-matrix systems of A. tamarense (A3). The low-dosage of 0.25 g L(-1) MC could efficiently remove >90% of the A. tamarense cells within 3.5h. The mechanisms underlying the effects elicited by MC flocculation on nutrient cycling, PSTs and Chl-a degradation were also discussed. This study demonstrated that MC treatment was able to significantly remove the macronutrients (43-60% TP removal and 17-30% TN removal) and scavenge most of the PSTs from seawater, thereby speeding up the nutrient settling and the transformation and degradation of PSTs (83% decreasing in A2). Simultaneously, the study firstly demonstrated the potential detoxification of PSTs by using MC treatment, from the high toxicity of gonyautoxin 1 and 4 (GTX1 and GTX4) to the lower toxicity decarbamoyl gonyautoxins (dcGTX3) and gonyautoxin 2 (GTX2), particularly within the water-sediment environment during the two month incubation.",Chemosphere,2015,P100,dinoflagellate,train
evolution,"Gene duplication, loss and selection in the evolution of saxitoxin biosynthesis in alveolates","A group of marine dinoflagellates (Alveolata, Eukaryota), consisting of ?10 species of the genus Alexandrium, Gymnodinium catenatum and Pyrodinium bahamense, produce the toxin saxitoxin and its analogues (STX), which can accumulate in shellfish, leading to ecosystem and human health impacts. The genes, sxt, putatively involved in STX biosynthesis, have recently been identified, however, the evolution of these genes within dinoflagellates is not clear. There are two reasons for this: uncertainty over the phylogeny of dinoflagellates; and that the sxt genes of many species of Alexandrium and other dinoflagellate genera are not known. Here, we determined the phylogeny of STX-producing and other dinoflagellates based on a concatenated eight-gene alignment. We determined the presence, diversity and phylogeny of sxtA, domains A1 and A4 and sxtG in 52 strains of Alexandrium, and a further 43 species of dinoflagellates and thirteen other alveolates. We confirmed the presence and high sequence conservation of sxtA, domain A4, in 40 strains (35 Alexandrium, 1 Pyrodinium, 4 Gymnodinium) of 8 species of STX-producing dinoflagellates, and absence from non-producing species. We found three paralogs of sxtA, domain A1, and a widespread distribution of sxtA1 in non-STX producing dinoflagellates, indicating duplication events in the evolution of this gene. One paralog, clade 2, of sxtA1 may be particularly related to STX biosynthesis. Similarly, sxtG appears to be generally restricted to STX-producing species, while three amidinotransferase gene paralogs were found in dinoflagellates. We investigated the role of positive (diversifying) selection following duplication in sxtA1 and sxtG, and found negative selection in clades of sxtG and sxtA1, clade 2, suggesting they were functionally constrained. Significant episodic diversifying selection was found in some strains in clade 3 of sxtA1, a clade that may not be involved in STX biosynthesis, indicating pressure for diversification of function.",Molecular Phylogenetics and Evolution,2015,P119,dinoflagellate,train
policy_monitoring,High Specificity of a Quantitative PCR Assay Targeting a Saxitoxin Gene for Monitoring Toxic Algae Associated with Paralytic Shellfish Toxins in the Yellow Sea,"The identification of core genes involved in the biosynthesis of saxitoxin (STX) offers a great opportunity to detect toxic algae associated with paralytic shellfish toxins (PST). In the Yellow Sea (YS) in China, both toxic and nontoxic Alexandrium species are present, which makes it a difficult issue to specifically monitor PST-producing toxic algae. In this study, a quantitative PCR (qPCR) assay targeting sxtA4, a domain in the sxt gene cluster that encodes a unique enzyme involved in STX biosynthesis, was applied to analyze samples collected from the YS in spring of 2012. The abundance of two toxic species within the Alexandrium tamarense species complex, i.e., A. fundyense and A. pacificum, was also determined with TaqMan-based qPCR assays, and PSTs in net-concentrated phytoplankton samples were analyzed with high-performance liquid chromatography coupled with a fluorescence detector. It was found that the distribution of the sxtA4 gene in the YS was consistent with the toxic algae and PSTs, and the quantitation results of sxtA4 correlated well with the abundance of the two toxic species (r=0.857). These results suggested that the two toxic species were major PST producers during the sampling season and that sxtA-based qPCR is a promising method to detect toxic algae associated with PSTs in the YS. The correlation between PST levels and sxtA-based qPCR results, however, was less significant (r=0.552), implying that sxtA-based qPCR is not accurate enough to reflect the toxicity of PST-producing toxic algae. The combination of an sxtA-based qPCR assay and chemical means might be a promising method for monitoring toxic algal blooms.",Applied and Environmental Microbiology,2015,P151,dinoflagellate,train
policy_monitoring,The sxt Gene and Paralytic Shellfish Poisoning Toxins as Markers for the Monitoring of Toxic Alexandrium Species Blooms,"Paralytic shellfish poisoning (PSP) is a serious human illness caused by the ingestion of seafood contaminated with saxitoxin and its derivatives (STXs). These toxins are produced by some species of marine dinoflagellates within the genus Alexandrium. In the Mediterranean Sea, toxic Alexandrium spp. blooms, especially of A. minutum, are frequent and intense with negative impact to coastal ecosystem, aquaculture practices and other economic activities. We conducted a large scale study on the sxt gene and toxin distribution and content in toxic dinoflagellate A. minutum of the Mediterranean Sea using both quantitative PCR (qPCR) and HILIC-HRMS techniques. We developed a new qPCR assay for the estimation of the sxtA1 gene copy number in seawater samples during a bloom event in Syracuse Bay (Mediterranean Sea) with an analytical sensitivity of 2.0 × 10° sxtA1 gene copy number per reaction. The linear correlation between sxtA1 gene copy number and microalgal abundance and between the sxtA1 gene and STX content allowed us to rapidly determine the STX-producing cell concentrations of two Alexandrium species in environmental samples. In these samples, the amount of sxtA1 gene was in the range of 1.38 × 10(5) - 2.55 × 10(8) copies/L and the STX concentrations ranged from 41-201 nmol/L. This study described a potential PSP scenario in the Mediterranean Sea.",Environmental Science & Technology,2015,P159,dinoflagellate,train
toxin_profile,Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS,"The paralytic shellfish toxin (PST) profiles of Gymnodinium catenatum Graham have been reported for several strains from the Pacific coast of Mexico cultured under different laboratory conditions, as well as from natural populations. Up to 15 saxitoxin analogues occurred and the quantity of each toxin depended on the growth phase and culture conditions. Previous analysis of toxin profiles of G. catenatum isolated from Mexico have been based on post-column oxidation liquid chromatography with fluorescence detection (LC-FLD), a method prone to artefacts and non-specificity, leading to misinterpretation of toxin composition. We describe, for the first time, the complete toxin profile for several G. catenatum strains from diverse locations of the Pacific coast of Mexico. The new results confirmed previous reports on the dominance of the less potent sulfocarbamoyl toxins (C1/2); significant differences, however, in the composition (e.g., absence of saxitoxin, gonyautoxin 2/3 and neosaxitoxin) were revealed in our confirmatory analysis. The LC-MS/MS analyses also indicated at least seven putative benzoyl toxin analogues and provided support for their existence. This new toxin profile shows a high similarity (> 80%) to the profiles reported from several regions around the world, suggesting low genetic variability among global populations.","Food Additives & Contaminants. Part A, Chemistry, Analysis, Control, Exposure & Risk Assessment",2015,P202,dinoflagellate,train
