Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
alexandrium,sxtb,117.88772517431799,16,95.0,4.052259745500807,4730,11,dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin production;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxic species;toxin production;toxin synthesis,1
toxin production,sulfocarbamoyl toxins,117.68272071988915,15,99.0,3.3674395864706055,3500,12,alexandrium;alexandrium tamarense;dinoflagellates;dominant toxins;each toxin;gonyautoxins;gymnodinium;gymnodinium catenatum;neosaxitoxin;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin profile,1
sxt genes,stx biosynthesis genes,116.88887626154859,7,122.0,1.5749692898946646,559,17,alexandrium;biosynthesis;clade;dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta,1
alexandrium pacificum,phylogeny,116.63996090388895,11,71.0,2.6077672290829206,759,24,alexandrium;alexandrium tamarense;alexandrium tamarense species;alexandrium tamarense species complex;biosynthesis;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta,1
cyanobacteria,stx biosynthesis genes,115.91507544638903,7,124.0,1.4742390954433013,1079,16,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta,1
pyrodinium,producing dinoflagellate,115.91414654941173,13,83.0,2.929846340284846,1406,18,alexandrium;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;starting gene;sxta,1
toxic dinoflagellate,gene expression,115.65019927081721,10,124.0,2.066947334550735,990,12,alexandrium;alexandrium catenella;alexandrium minutum;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin content;toxin production,1
temperature,nutrient limitation,115.35941027557232,12,107.0,2.706023120498329,1776,13,alexandrium;alexandrium fundyense;cellular toxin;dinoflagellates;gonyautoxins;nitrogen;phosphorus;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,1
alexandrium pacificum,toxic dinoflagellate,115.30764354136713,8,146.0,1.6120274433191415,1035,9,alexandrium;alexandrium catenella;alexandrium tamarense;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta,1
alexandrium,cyanobacteria and dinoflagellates,114.98869810612057,17,56.0,4.245176960693296,4945,18,alexandrium tamarense;cyanobacteria;dinoflagellates;evolution;freshwater cyanobacteria;genes involved;homologs;paralytic shellfish poisoning;saxitoxin;saxitoxin synthesis;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxin production;toxin synthesis,1
alexandrium spp,evolution,114.46213602966976,11,92.0,2.282526363591036,1378,18,alexandrium;alexandrium minutum;cyanobacteria;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin production;toxin profile,1
sxt genes,biosynthesis gene,113.67495296463116,11,90.0,2.4590209025501713,731,18,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;genes involved;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg,1
toxin profile,toxic alexandrium,113.59698151052059,13,106.0,2.903394758946834,2376,11,alexandrium;alexandrium minutum;alexandrium ostenfeldii;alexandrium spp;alexandrium tamarense;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxic dinoflagellate;toxin production,1
alexandrium minutum,stx biosynthesis genes,113.02778514014955,7,114.0,1.5525084867821433,845,17,alexandrium;biosynthesis;dinoflagellates;gene expression;saxitoxin;saxitoxin biosynthesis;sxta,1
alexandrium fundyense,growth and toxin,112.9998455990719,14,89.0,2.9847968960106344,1200,14,alexandrium;alexandrium tamarense;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;temperature;toxin composition;toxin content;toxin production;toxin profile,1
alexandrium,stx synthesis,112.93172098027286,17,80.0,4.233591680819093,4730,11,alexandrium tamarense;cyanobacteria;dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin production;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxin production;toxin synthesis,1
gymnodinium catenatum,growth and toxin,112.04398814393335,13,96.0,2.7631068369750156,1824,13,alexandrium;alexandrium tamarense;dcstx;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content;toxin production;toxin profile,1
